Bioma;Estado;Cenário;Erosão;Bioprospecção;Carbono;PFNM;PFM;Área;Valor;Valores_ha;Valor_pecuaria;Diferenca_pecuaria;Diferenca_pecuaria_ha
MAT;PB;Área prioritária para restauração;87534204.83;1090490.38;189462557.3;313430610.5;0;12511;591530374.1;47279.8228;87577000;503953374.1;40279.8228
PAN;PB;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;PB;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;PE;Área prioritária para restauração;237692012.2;15851578.86;151670908.1;437774657;0;36573;843025729.2;23049.49433;256011000;587014729.2;16049.49433
CER;PE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;PE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;PE;Área prioritária para restauração;335856800.8;4184062.802;726941982.1;1202590488;0;48003;2269621337;47279.8228;336021000;1933600337;40279.8228
PAN;PE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;PE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;PI;Área prioritária para restauração;260386910.2;17365091.92;166152487.8;479573500.5;0;40065;923518055.4;23049.49433;280455000;643063055.4;16049.49433
CER;PI;Área prioritária para restauração;98889251.67;10355290.6;135556967.3;281107897.4;0;21872;525931279;24044.87047;153104000;372827279;17044.87047
FAM;PI;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;PI;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;PI;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;PI;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;PR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;PR;Área prioritária para restauração;63686631.26;6669011.676;87301364.39;181039038.2;0;14086;338710131.5;24044.87047;98602000;240108131.5;17044.87047
FAM;PR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;PR;Área prioritária para restauração;9373401377;116772683.9;20288167337;33563004566;0;1339712;63342685675;47279.8228;9377984000;53964701675;40279.8228
PAN;PR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;PR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;RJ;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;RJ;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;RJ;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;RJ;Área prioritária para restauração;778376454.5;9696918.335;1684749338;2787104856;0;111251;5260038817;47279.8228;778757000;4481281817;40279.8228
PAN;RJ;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;RJ;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;RN;Área prioritária para restauração;606601089.5;40453967.8;387071224.2;1117221321;0;93336;2151440939;23049.49433;653352000;1498088939;16049.49433
CER;RN;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;RN;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;RN;Área prioritária para restauração;30113277.72;375147.5179;65178390.74;107825541.3;0;4304;203496661.3;47279.8228;30128000;173368661.3;40279.8228
PAN;RN;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;RN;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;RO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;RO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;RO;Área prioritária para restauração;3277651058;237501752.5;10676093072;5894337100;0;501641;20086084623;40039.75549;3511487000;16574597623;33039.75549
MAT;RO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;RO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;RO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;RR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;RR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;RR;Área prioritária para restauração;112931201.6;8183103.635;367843921.5;203088907.1;0;17284;692064417.8;40039.75549;120988000;571076417.8;33039.75549
MAT;RR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;RR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;RR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;RS;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;RS;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;RS;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;RS;Área prioritária para restauração;1667382822;20772050.55;3608950514;5970338304;0;238314;11267682005;47279.8228;1668198000;9599484005;40279.8228
PAN;RS;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;RS;Área prioritária para restauração;3262805983;504488235.7;3082528658;4722618566;0;722065;11573163507;16026.86938;5054455000;6518708507;9026.869384
CAA;SC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;SC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;SC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;SC;Área prioritária para restauração;1566890952;19520135.17;3391441865;5610510644;0;223951;10588587547;47279.8228;1567657000;9020930547;40279.8228
PAN;SC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;SC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;SE;Área prioritária para restauração;110627879.3;7377726.064;70591480.01;203751407.1;0;17022;392365514.5;23049.49433;119154000;273211514.5;16049.49433
CER;SE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;SE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;SE;Área prioritária para restauração;220007439.1;2740825.674;476192959.3;787772803.8;0;31445;1486745473;47279.8228;220115000;1266630473;40279.8228
PAN;SE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;SE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;SP;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;SP;Área prioritária para restauração;1146042874;120009068.7;1570990717;3257803018;0;253478;6095099156;24044.87047;1774346000;4320753156;17044.87047
FAM;SP;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;SP;Área prioritária para restauração;4361359746;54333284.43;9439902635;15616565556;0;623356;29472784578;47279.8228;4363492000;25109292578;40279.8228
PAN;SP;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;SP;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;TO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;TO;Área prioritária para restauração;909444732.7;95233448.85;1246662988;2585236437;0;201148;4836778754;24044.87047;1408036000;3428742754;17044.87047
FAM;TO;Área prioritária para restauração;1827565818;132427179.4;5952818778;3286588112;0;279707;11199679595;40039.75549;1957949000;9241730595;33039.75549
MAT;TO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;TO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;TO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;AC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;AC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;AC;Pastagem Degradada P/ Agricultura;93496330.79;2303347.61;389764569.7;226941631.1;0;19314;712525193.1;36890.64301;135198000;577327193.1;29890.64301
MAT;AC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
PAN;AC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;AC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;AL;Pastagem Degradada P/ Agricultura;22144713.19;502098.3717;18084891.84;55049507.77;0;4599;95785810.17;20826.52994;32193000;63592810.17;13826.52994
CER;AL;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;AL;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;AL;Pastagem Degradada P/ Agricultura;234846748;994693.8053;650561428.6;1134999106;0;45305;2021447281;44617.63549;317135000;1704312281;37617.63549
PAN;AL;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;AL;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;AM;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;AM;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;AM;Pastagem Degradada P/ Agricultura;9454195.611;232910.7323;39412353.97;22947965.49;0;1953;72049378.8;36890.64301;13671000;58378378.8;29890.64301
MAT;AM;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
PAN;AM;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;AM;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;AP;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;AP;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;AP;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;AP;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
PAN;AP;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;AP;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;BA;Pastagem Degradada P/ Agricultura;2422893565;54935501.02;1978701088;6023067311;0;503185;10480100650;20826.52994;3522295000;6957805650;13826.52994
CER;BA;Pastagem Degradada P/ Agricultura;538694446.1;19178582.86;945090521.9;2066873063;0;160816;3569997429;22198.26767;1125712000;2444285429;15198.26767
FAM;BA;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;BA;Pastagem Degradada P/ Agricultura;1375521326;5826022.942;3810404557;6647805379;0;265356;11839822640;44617.63549;1857492000;9982330640;37617.63549
PAN;BA;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;BA;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;CE;Pastagem Degradada P/ Agricultura;170450250.5;3864705.427;139201366.9;423722010.3;0;35399;737273732.2;20826.52994;247793000;489480732.2;13826.52994
CER;CE;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;CE;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;CE;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
PAN;CE;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;CE;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;DF;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;DF;Pastagem Degradada P/ Agricultura;46518068.93;1656134.838;81611730.66;178481408.7;0;13887;308281230.1;22198.26767;97209000;211072230.1;15198.26767
FAM;DF;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;DF;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
PAN;DF;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;DF;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;ES;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;ES;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;ES;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;ES;Pastagem Degradada P/ Agricultura;16473743.85;69774.57043;45634791.31;79616535.87;0;3178;141798023.6;44617.63549;22246000;119552023.6;37617.63549
PAN;ES;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;ES;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;GO;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;GO;Pastagem Degradada P/ Agricultura;4261932080;151733172.9;7477173086;16352261797;0;1272311;28244372447;22198.26767;8906177000;19338195447;15198.26767
FAM;GO;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;GO;Pastagem Degradada P/ Agricultura;377823086.2;1600270.332;1046627764;1825994478;0;72887;3252118485;44617.63549;510209000;2741909485;37617.63549
PAN;GO;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;GO;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;MA;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;MA;Pastagem Degradada P/ Agricultura;347667880.5;12377661.03;609951747.2;1333938714;0;103789;2304039792;22198.26767;726523000;1577516792;15198.26767
FAM;MA;Pastagem Degradada P/ Agricultura;1697538823;41820058.15;7076646572;4120399442;0;350669;12936755564;36890.64301;2454683000;10482072564;29890.64301
MAT;MA;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
PAN;MA;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;MA;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;MG;Pastagem Degradada P/ Agricultura;146726179.7;3326797.474;119826663.2;364746379.8;0;30472;634656492.2;20826.52994;213304000;421352492.2;13826.52994
CER;MG;Pastagem Degradada P/ Agricultura;3594432796;127968884.2;6306106164;13791187890;0;1073043;23820768777;22198.26767;7511301000;16309467777;15198.26767
FAM;MG;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;MG;Pastagem Degradada P/ Agricultura;1403964193;5946492.756;3889195652;6785267912;0;270843;12084645093;44617.63549;1895901000;10188744093;37617.63549
PAN;MG;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;MG;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;MS;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;MS;Pastagem Degradada P/ Agricultura;6695171775;238361296.6;11746071327;25688161985;0;1998704;44369765087;22198.26767;13990928000;30378837087;15198.26767
FAM;MS;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;MS;Pastagem Degradada P/ Agricultura;210343479.5;890910.1695;582683625.4;1016576398;0;40578;1810534991;44617.63549;284046000;1526488991;37617.63549
PAN;MS;Pastagem Degradada P/ Agricultura;3068044.512;53769.01289;12188389.83;15207792.95;0;2449;30520445.31;12461.41132;17143000;13377445.31;5461.411315
SUL;MS;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;MT;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;MT;Pastagem Degradada P/ Agricultura;104365014.4;3715599.987;183098947.3;400429665.8;0;31156;691640383.5;22198.26767;218092000;473548383.5;15198.26767
FAM;MT;Pastagem Degradada P/ Agricultura;2310386601;56917992.51;9631467156;5607951661;0;477268;17607200677;36890.64301;3340876000;14266324677;29890.64301
MAT;MT;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
PAN;MT;Pastagem Degradada P/ Agricultura;45491996.89;797269.9736;180725602.3;225496359.9;0;36313;452547542.1;12461.41132;254191000;198356542.1;5461.411315
SUL;MT;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;PA;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;PA;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;PA;Pastagem Degradada P/ Agricultura;7754207315;191030329.6;32325496108;18821620491;0;1601825;59093956068;36890.64301;11212775000;47881181068;29890.64301
MAT;PA;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
PAN;PA;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;PA;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;PB;Pastagem Degradada P/ Agricultura;223960621.9;5077973.356;182901606.7;556743358.4;0;46512;968730072.3;20826.52994;325584000;643146072.3;13826.52994
CER;PB;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;PB;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;PB;Pastagem Degradada P/ Agricultura;150492678.2;637411.9977;416887747.4;727321356;0;29032;1295368226;44617.63549;203224000;1092144226;37617.63549
PAN;PB;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;PB;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;PE;Pastagem Degradada P/ Agricultura;768723455.5;17429658.81;627792305.5;1910968431;0;159648;3325073499;20826.52994;1117536000;2207537499;13826.52994
CER;PE;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;PE;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;PE;Pastagem Degradada P/ Agricultura;307242061.6;1301324.281;851107525.3;1484880962;0;59271;2644591144;44617.63549;414897000;2229694144;37617.63549
PAN;PE;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;PE;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;PI;Pastagem Degradada P/ Agricultura;19819012.72;449366.5793;16185565.3;49268052.61;0;4116;85726113.21;20826.52994;28812000;56914113.21;13826.52994
CER;PI;Pastagem Degradada P/ Agricultura;4776752.811;170061.8045;8380379.342;18327535.74;0;1426;31656155.7;22198.26767;9982000;21674155.7;15198.26767
FAM;PI;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;PI;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
PAN;PI;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;PI;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;PR;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;PR;Pastagem Degradada P/ Agricultura;656552.2798;23374.55378;1151861.396;2519072.233;0;196;4351056.463;22198.26767;1372000;2979056.463;15198.26767
FAM;PR;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;PR;Pastagem Degradada P/ Agricultura;1027634007;4352545.607;2846703451;4966488527;0;198244;8845376775;44617.63549;1387708000;7457668775;37617.63549
PAN;PR;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;PR;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;RJ;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;RJ;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;RJ;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;RJ;Pastagem Degradada P/ Agricultura;206844493.7;876090.2089;572990899.2;999666026.1;0;39903;1780417412;44617.63549;279321000;1501096412;37617.63549
PAN;RJ;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;RJ;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;RN;Pastagem Degradada P/ Agricultura;7526024.509;170641.3905;6146267.874;18708932.52;0;1563;32553429.29;20826.52994;10941000;21612429.29;13826.52994
CER;RN;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;RN;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;RN;Pastagem Degradada P/ Agricultura;3970701.003;16817.91093;10999449.38;19190140.49;0;766;34177874.79;44617.63549;5362000;28815874.79;37617.63549
PAN;RN;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;RN;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;RO;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;RO;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;RO;Pastagem Degradada P/ Agricultura;1383609184;34086181.56;5767946544;3358404787;0;285819;10544332514;36890.64301;2000733000;8543599514;29890.64301
MAT;RO;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
PAN;RO;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;RO;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;RR;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;RR;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;RR;Pastagem Degradada P/ Agricultura;1045625.321;25759.71233;4358970.024;2538023.833;0;216;7968594.891;36890.64301;1512000;6456594.891;29890.64301
MAT;RR;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
PAN;RR;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;RR;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;RS;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;RS;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;RS;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;RS;Pastagem Degradada P/ Agricultura;6178949.864;26170.95278;17116636.64;29862464.05;0;1192;53185413.51;44617.63549;8344000;44841413.51;37617.63549
PAN;RS;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;RS;Pastagem Degradada P/ Agricultura;1031141.631;54204.94764;1246787.243;2014453.71;0;308;4346895.532;14112.29718;2156000;2190895.532;7112.297182
CAA;SC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;SC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;SC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;SC;Pastagem Degradada P/ Agricultura;20760649.5;87931.7667;57510175.95;100334872.9;0;4005;178697635.2;44617.63549;28035000;150662635.2;37617.63549
PAN;SC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;SC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;SE;Pastagem Degradada P/ Agricultura;124697029.3;2827319.316;101836147.9;309984149.3;0;25897;539370542.7;20826.52994;181279000;358091542.7;13826.52994
CER;SE;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;SE;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;SE;Pastagem Degradada P/ Agricultura;390580129.5;1654302.811;1081966726;1887648441;0;75348;3361924947;44617.63549;527436000;2834488947;37617.63549
PAN;SE;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;SE;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;SP;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;SP;Pastagem Degradada P/ Agricultura;187100651;6661151.537;328251113.7;717871324.4;0;55855;1239940096;22198.26767;390985000;848955095.7;15198.26767
FAM;SP;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;SP;Pastagem Degradada P/ Agricultura;2467464102;10450948.45;6835253137;11925094014;0;476006;21238738207;44617.63549;3332042000;17906696207;37617.63549
PAN;SP;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;SP;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;TO;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;TO;Pastagem Degradada P/ Agricultura;1052202073;37460465.36;1845993055;4037108859;0;314113;6973078565;22198.26767;2198791000;4774287565;15198.26767
FAM;TO;Pastagem Degradada P/ Agricultura;1678146346;41342310.9;6995803822;4073328500;0;346663;12788967642;36890.64301;2426641000;10362326642;29890.64301
MAT;TO;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
PAN;TO;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;TO;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
